"Model","RMSE","MAE","R2"
"Linear Regression",14.3500232341674,11.4596900686935,-11.4773087711495
"SVR Base",11.719624175461,9.29938712526142,-1.12637957611314
"SVR Tuned",10.2202281770477,8.27709717307609,0.117193778878875
