"Model","RMSE","MAE","R2"
"Linear Regression",14.3500232341674,11.4596900686935,0.0741987897569488
"SVR Base",11.719624175461,9.29938712526142,0.382495814506975
"SVR Tuned",10.2202281770477,8.27709717307609,0.530393910752261
